content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	avgNeg	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	avgPos	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP	SNpos	SNneg	SNpleas	SNatten	SNsensi	SNapt
Wow my sis said she gona get a tramp stamp tat LOL I told her it's to late for that ha ha evil laugh	1	negative	1	2	3	1	0	12	-5.857	5.398	-3	2	0.1856117258	1	-0.7489013672	neutral	3	3	1	-3	-2.977	2	2	1	1.981	0	2	3	1.846	-0.542	0.716	0.119	-0.914	1.685
@russmarshalek Sold! Would love to be your crazyass big sis -- how could I say no?! Cannot believe I broke or minimally battered my toe --	0	positive	1	2	2	1	0	4	-4.319	6.159	-1	2	1.006980896	1	-1.1875	negative	2	2	1	-1	-8.151	3	0	0	2.221	0	2	2	0.984	0	0.677	0.829	-0.513	1.938
@zzramesses yes; hope to release that feature next month	1	positive	2	0	0	0	1	3	-0.968	1.567	0	1	0.4955477715	1	-0.03125	positive	0	0	2	-1	-0.366	2	0	0	1.449	1	0	3	0.495	-0.034	0	1.049	0.128	0.238
Phil Collins- You Can't Hurry Love	0	positive	1	0	0	1	1	3	-1.004	3.33	0	1	0.3522949219	1	-0.0234375	neutral	0	0	1	-1	-0.278	1	0	0	1.906	0	0	3	0.316	0	0.491	0	0	0.458
i need money! i need new car!!! jesus...somebody please buy my old car :DDD	1	positive	1	0	0	0	1	1	-4.838	4.109	0	3	0.4810791016	1	-0.23046875	negative	0	0	1	-1	-4.157	2	0	1	2.064	1	0	2	0.136	-0.027	0.212	0.193	-0.384	0.307
In ny wif @DJWALLAH and the Heavy Hitter crew... shout to @freddyphh for looking real gay in the camera...lol...	1	negative	1	0	0	0	0	0	-1.097	2.499	0	3	0.2389964927	0	-0.0859375	positive	0	0	1	-2	-1.623	2	0	1	2.608	2	0	1	1.085	0	0.902	1.293	-0.412	1.471
RT @RockinGreenSoap: I Flip(in) Love @rockingreensoap! Follow them to win a free Flip Camera! RT Please! http://tinyurl.com/yffv2pg #clothdiapers	0	positive	3	0	0	3	0	9	-1.828	6.108	0	1	0.6229029745	1	-0.094865799	neutral	0	0	1	-1	-1.045	3	0	0	2.444	0	0	3	2.103	0	2.015	1.978	-0.077	2.394
@ShiedhaO well damn! Renee still aint playin  is she?! and neither is Jack!! @LikasParody	0	positive	1	1	1	1	0	0	-3.181	3.534	-4	3	0.2495348473	0	-0.5405864716	negative	0	1	0	-1	-3.828	1	1	1	2.438	0	0	2	1.389	0	1.312	1.814	-0.505	1.542
@heydusti oh  geez  I'd have a lot more songs that way.	0	neutral	0	0	0	0	0	0	-1.614	1.221	0	2	9.765625E-4	0	-0.2338285446	neutral	0	0	0	-1	-1.567	1	0	0	0.84	0	0	1	0.406	0	0.337	0.397	-0.156	0.642
@natuhtack I will have some apple chicken sausage delivered to you.	0	neutral	1	0	0	0	0	0	-0.992	1.925	0	1	0.29296875	0	-0.2025785446	positive	0	0	0	-1	-1.097	1	0	0	3.4	0	1	1	0.069	-0.061	-0.151	0.144	-0.048	0.158
@wendywave1 HAHAHAH that was worded weird. I'm reading while a candle is burning in my room	0	negative	0	2	1	0	0	3	-3.214	2.298	-2	2	0.171875	0	-0.486328125	neutral	0	1	1	-2	-2.163	1	1	0	3.778	0	0	2	0.117	0	0.062	0.163	-0.056	0.181
@KantGitRite you should follow me while ur at it u tickle my dick with ur comments	1	neutral	1	1	0	1	1	0	-4.401	5.155	-4	1	3.677457571029663E-4	1	-0.1640625	positive	0	0	1	-1	-0.746	1	0	0	1.817	1	0	1	0.374	0	0.119	0.49	-0.273	0.583
RT @importantdate: You can preview the exclusive Tim Burton's #Alice Boutique  opening 2/11. It's a curious collection! http://ow.ly/15uSt	0	positive	2	0	0	0	0	3	-2.64	6.59	0	2	0.0083007813	0	-0.390625	neutral	0	0	0	-1	-0.26	2	0	0	4.772	0	0	2	0.108	-0.068	-0.07	0.153	-0.074	0.114
@iJuslisen pretty much my g..i need a banger..get it to the bloggers..lets do it.	0	positive	1	0	0	1	1	1	-1.668	0.855	0	2	0.2734375	1	-0.3652000427	positive	0	0	1	-1	-1.157	2	0	0	0.976	1	0	3	1.275	0	1.207	1.686	-0.597	1.528
Photo: Chace Crawford?. Oh man I can look at pictures of him all day BUT i have homework to get back to so... http://tumblr.com/xbf6aoc1l	0	neutral	1	0	0	0	0	0	-2.803	2.72	0	2	0.6875343313	0	-0.1869535446	negative	0	0	0	-1	-4.478	2	0	0	1.989	0	1	1	0.644	-0.092	-0.103	1.147	-0.53	1.144
Commission Ritual.: P.S. I want to make this perfectly clear: Commission Ritual will get your sites multiple fi.. http://bit.ly/7dqvqj	0	positive	4	0	0	2	0	5	-5.343	4.174	0	1	1.0428200224	0	-0.2827148438	neutral	0	0	0	-1	-2.128	1	0	0	4.178	2	0	2	1.067	0	0.165	0.44	-0.55	2.234
On Insurance and Hospitals: I wonder if there is a connection between the hospital system overload and the format... http://bit.ly/d9QIc5	0	neutral	1	0	0	1	0	0	-7.031	0.886	-1	2	0.3046875	0	-0.1943359375	neutral	2	1	0	-1	-6.629	1	0	0	1.514	2	1	1	1.361	-0.11	1.122	1.447	-0.414	1.631
Chilling textin (?) ... To much info..foreal you know its los ward yung squad bitch...	0	negative	0	1	1	0	0	0	-4.246	2.292	-6	2	0.354309082	0	-0.83984375	neutral	1	1	0	-2	-1.388	1	1	1	2.436	0	1	1	0.206	-0.221	-0.555	0.825	-0.454	0.137
Twitter Background - Reviews  News  and How To Geeks: This is my Twitter background for my Personal Twitter. http://bit.ly/bdbijW	0	neutral	0	0	0	0	0	0	-2.709	5.323	0	1	0.68359375	0	0	positive	0	0	0	-1	-1.552	1	0	0	4.144	1	0	1	0.486	-0.051	-0.034	0.825	-0.527	1.038
Your busy schedule might not leave you a lot of room today for... More for Scorpio http://twittascope.com/twittascope/?sign=8	1	neutral	1	0	1	0	0	0	-2.073	3.479	-1	2	0.453125	0	-0.828163147	neutral	1	1	0	-1	-2.28	1	0	0	1.999	0	0	1	0.864	0	0.364	1.048	-0.619	1.507
RT @MidieastBozz: RT @Frayz: Check out - www.MidieastMovement.com That's a #BrandName http://myloc.me/3Dy7o	0	neutral	0	0	0	0	0	0	-0.343	3.022	0	1	0.0932533749	0	-0.0648841858	neutral	0	0	0	-1	-0.085	1	0	0	0.575	0	0	1	0.166	0	-0.045	0.288	0	0.254
Photo: (via fuckyeahkristinchenoweth) omgomgomgomg MAY 19TH http://tumblr.com/x7269s2mn	0	neutral	0	0	0	0	0	0	-0.169	2.023	0	1	0	0	0	neutral	0	0	0	-1	0	2	0	0	0.767	0	0	1	0	0	0	0	0	0
Winter Olympics: An Add-On to the Modern Games http://bit.ly/9BP1lc	0	neutral	1	0	0	1	0	0	-0.294	1.807	0	1	0.046875	0	-0.125	neutral	0	0	0	-1	-0.478	1	0	0	1.567	0	0	1	0.214	0	0.477	0.139	-0.149	0.14
Heres a new idea how about i get you a spoon so you can read my ass.	0	neutral	0	0	0	0	0	0	-3.201	3.988	-4	2	0.1309242258	0	-0.15625	positive	0	1	0	-1	-1.38	1	0	0	2.126	0	0	1	1.085	-0.023	0.924	0.945	-0.426	0.998
Equipped a Gamma Mittens. #epicpetwars http://www.epicpetwars.com	0	neutral	0	0	0	0	0	0	-0.31	0.655	0	1	0.25	0	-0.0625	neutral	0	0	0	-1	-0.934	1	0	0	2.186	0	0	1	0	0	0	0	0	0
RT @FriendsTVFan: #RetweetTHisIf you want #FriendsTheMovie via @Lisa_Kudrow	0	neutral	1	0	0	0	0	1	-0.807	1.809	0	1	0	0	-0.2514648438	neutral	0	0	0	-1	-0.838	2	0	0	0.038	0	0	1	0.149	0	0.104	0.33	-0.281	0.293
@alexabimanyu as for now nope. Use XL for cheaper rate of prepaid and postpaid roaming	0	neutral	0	0	0	1	0	0	-7.568	1.103	0	2	0.3008728027	0	-0.06640625	positive	0	0	0	-1	-2.189	2	0	0	1.087	0	0	1	0.548	0	-0.044	0.854	-0.151	0.985
It's A Bird! It's A Plane! It's Chris Nolan! He'll Mentor Superman 3.0 And Prep 3rd http://bit.ly/dnSFmU	0	positive	1	0	0	0	0	0	-1.244	2.873	0	1	0.2504882813	1	-0.13671875	neutral	0	0	2	-1	-1.699	1	0	0	4.582	2	0	2	0.144	-0.059	-0.048	0.213	-0.116	0.206
Andy is rambling on C&C this morning - shutup and get on with it man	0	neutral	0	0	0	0	0	0	-3.503	3.02	0	3	0.0772132883	0	-0.0625	neutral	0	1	0	-1	-0.729	1	0	0	2.16	0	0	1	0.517	0	0.079	-0.024	-0.265	0.97
@tigerlilybubu lol  where are you? I once forgot the car completely and left home without it.	0	positive	0	0	0	0	0	3	-2.496	2.239	0	3	0.37890625	0	-0.0319824219	negative	0	0	1	-1	-5.018	1	0	0	1.498	0	0	2	0.539	0	-0.07	0.837	-0.194	1.076
Grow on Twitter with Tweet Automator http://bit.ly/dwxFHu	0	neutral	0	0	0	0	1	0	-1.887	1.382	0	1	0.03125	1	0	positive	0	0	1	-1	-0.137	1	0	0	0.516	1	0	1	0.178	0	0.055	0.313	-0.174	0.34
@LSal92 and yet they are a minority ... despite the election law being changed to skew things in Aoun's favor  they remain a minority	0	positive	1	0	1	1	0	2	-4.781	3.073	0	2	0.474609375	0	-1.0678710938	neutral	0	2	0	-1	-2.173	1	0	0	1.777	1	0	2	0.94	-0.389	0.489	1.514	-0.101	0.963
count the sheeps and you can sleep :) RT @RaissaArif it's time to sleep actually but i can't sleep..hmmm i'll try	0	positive	0	0	1	0	1	0	-8.091	3.177	0	2	0.2506103516	0	-0.125	positive	0	0	1	-1	-2.727	2	0	0	2.112	1	0	2	0.518	0	-0.142	0.955	-0.203	1.083
The Newest Member of _________________! #yehbuddy	0	positive	0	0	0	0	0	0	-2.971	3.4	0	1	0	0	0	neutral	0	0	0	-1	-1.286	2	0	0	1.184	0	0	2	0.173	0	0.112	0.191	-0.07	0.287
@SeaNanners Hey Adam  JPizzle1122 (the microwave dude on utube) seems to have a good live stream for MW2  maybe ask for his help?	1	positive	3	0	0	1	1	5	-2.852	3.856	0	1	0.7741019148	1	-0.2672147751	positive	0	0	1	-1	-1.98	2	0	0	2.542	1	0	2	1.515	0	1.162	2.068	-0.7	2.09
Little Caesars Large Cheese or Pepperoni - No Limit - 2/10 for $3.99:	0	neutral	1	1	2	0	0	0	-6.551	2.41	-1	1	0	0	-0.5300292969	neutral	0	0	0	-1	-2.813	2	0	0	4.903	0	0	1	0.356	0	0.032	0.461	0.049	0.624
oh my goodness I'm emo	1	positive	1	0	0	1	1	3	-0.482	0.414	0	2	0.8125	1	-0.03125	neutral	0	0	1	-1	-1.443	1	0	0	0.729	1	0	2	0.201	0	0.129	0.169	-0.139	0.444
@Din_Jee wait wait wait...im confused...are you there?	0	negative	0	0	0	0	2	0	-0.61	1.814	0	2	0	0	-0.28125	neutral	0	2	0	-2	-0.041	1	0	0	0.75	0	0	1	0	-0.036	-0.024	0	0	-0.083
RT @Arranwhisky: New #Arran #Malt #Competition just posted on: www.arranwhisky.com/Default.aspx?page=Competition Free bottle and chocolates	0	neutral	2	0	0	1	1	1	0	5.455	0	1	0.3506846428	0	-0.125	neutral	0	1	0	-1	0	2	0	0	4.413	0	0	1	1.188	0	0.84	1.43	-0.28	1.572
emm  my lip is starting to hurt :/	0	negative	0	1	1	0	0	0	-1.969	0.686	-2	3	0	0	-0.4501647949	negative	1	1	0	-3	-3.428	1	0	1	1.097	0	1	1	0	-0.286	-0.933	-0.989	-0.914	0
Finally off work. Gonna go home and try to sleep whatever this is off so I can go to my other job. I hate to miss work	1	negative	0	2	4	2	1	0	-4.684	1.844	-5	3	0.1971443114	1	-1.7383079529	negative	1	1	2	-4	-9.199	1	2	1	4.102	1	1	2	0.608	-0.873	-0.606	0.85	0.195	0.182
#TED travel off to rocky start thanks to wayward wallet. JUST made my flight  but horridly tense.	0	negative	1	3	3	0	1	2	-1.177	4.414	-2	3	0.5485839844	0	-1.65087533	positive	0	0	0	-4	-3.391	1	0	0	5.05	0	0	2	0.541	-0.155	-0.46	1.342	-0.632	0.909
RT 50+ Awesome Twitter Tips to become a Pro http://ow.ly/14LjW via @virtuosoblogger	0	positive	2	0	0	1	0	4	-1.235	4.202	0	1	0.8125	0	-0.0625	positive	0	0	0	-1	-0.403	3	0	0	2.123	0	0	3	1.069	0	0.82	1.244	-0.226	1.369
@JBieberboyyy i was thinking that i wanna make a Cake party in my house :O! lol	0	positive	0	0	0	0	0	3	-2.538	1.605	0	1	0.4296875298	0	-0.140625	neutral	0	0	0	-1	-2.561	3	0	0	2.678	0	0	2	0.777	0	0.746	1.036	-0.066	0.294
http://www.youtube.com/watch?v=0TpGvMh6Uow&feature=player_embedded Check it out! In the middle of London! SO COOL!	0	positive	0	0	0	1	0	1	-0.139	3.568	0	1	0.0932533749	0	-0.016910553	positive	0	0	1	-1	-0.894	3	0	0	2.427	0	0	3	0.36	0	0.094	0.493	0	0.491
This cares about Internet marketing resources. kitti joined this as a marketer. http://ihid.us?i=noj	0	positive	0	0	0	0	0	2	-3.081	5.014	0	1	0.001953125	1	-0.125	neutral	0	0	2	-1	-1.338	1	0	0	0.841	1	0	2	0.17	0	0.044	0.25	-0.158	0.374
Mountains  trees  and beautiful cotton-ish blue sky! I will fly! :)	0	positive	2	0	0	1	0	3	-0.172	3.414	0	1	0.69140625	1	-0.0320940018	positive	1	0	2	-1	-0.418	3	0	0	7.688	0	0	3	0.36	-0.209	-0.426	0.568	-0.353	0.662
@justinbieber follow me? please...(: your great and it would make my day. btw  i wanna shampoo your hair ;D lmao. 3	0	positive	2	0	0	1	0	8	-3.695	5.867	0	1	0.4661880881	0	-0.09375	neutral	0	0	0	-1	-3.774	4	0	0	5.445	0	0	3	1.271	-0.034	0.965	1.297	-0.139	1.531
RT @KLM: RT @tiesto Last chance to meet @tiesto in Bangkok w/ @KLM. Tell your friends & increase the chance of winning together- http://tiny.cc/Ei5hB	3	neutral	1	0	0	1	1	9	-2.161	4.112	0	2	0.7607790232	1	0	positive	1	0	2	-1	-1.181	2	1	0	11.152	1	0	1	1.353	0	1.042	1.42	-0.517	1.997
Lets trade McNabb to the Broncos and get Brandon Marshall. That team has potential...not w/ Kyle Orton at QB tho.	0	neutral	0	0	0	0	0	0	-4.796	3.298	0	2	0.0372352609	0	0	neutral	0	0	0	-1	-1.963	2	0	0	1.9	2	0	1	0.692	0	0.372	0.253	-0.415	1.076
RT @chriscolfer: I hereby name all the Kurt fans as the Kurtsies.	0	neutral	0	0	0	1	0	0	-1.652	3.427	0	1	0.3760910034	0	-0.09375	neutral	0	0	0	-1	-0.418	1	0	0	2.665	0	0	1	0.207	0	0.096	0.248	-0.178	0.457
I thought about saying underwhelming instead of disappointing but one must maintain standards  even in the face of snowmageddon	0	negative	1	1	1	0	1	0	-6.653	0.618	-2	2	0.1732025146	0	-1.0043983459	negative	1	1	0	-2	-5.66	2	0	0	0.962	0	0	1	0.953	0	0.093	1.864	-0.748	1.856
@DarrylTalley @J9Talley hi there! Nice to see you back!	0	positive	2	0	0	1	0	3	-0.786	4.064	0	1	0.5527960043	0	0	positive	0	0	0	-1	-0.489	3	0	0	1.503	0	0	2	0.164	0	0.147	0.126	-0.096	0.314
Topic ????:iRedAdmin-Pro-1.1.0 in forum ????? by ZhangHuangbin. http://to.ly/16Uv #iredmail	0	neutral	0	0	0	0	0	0	-0.214	0.539	0	1	0	0	-0.25	neutral	0	0	0	-1	-0.083	1	0	0	0.587	0	0	1	0	0	0	0	0	0
Quick Tip: How to Work with @Font-face:- http://u.nu/2iv35	0	neutral	0	0	0	1	0	0	-0.659	2.125	0	1	0.0078738558	0	-0.0937347412	neutral	0	0	0	-1	-0.894	1	0	0	1.235	0	0	1	0.294	0	0.019	0.468	-0.249	0.643
RT @katyperry: I ? New York!	0	positive	0	0	0	0	0	0	-0.172	2.681	0	1	0.0758056641	0	-0.03125	neutral	0	0	0	-1	-0.418	3	0	0	3.843	0	0	2	0.108	0	0.047	0.171	-0.107	0.212
RT @ayse: The top 10 novels in Modern Library's reader's picks list include four by Ayn Rand and three by L. Ron Hubbard. America  you scare me.	1	negative	2	1	1	2	2	2	-14.567	6.311	-2	2	0.140625	0	-0.5000038147	neutral	0	1	4	-4	-1.657	2	0	1	3.671	1	1	1	0.668	-0.316	0.288	0.788	-0.982	1.349
RT @Alissa_juknow @PreciousBarbieQ you gotta make ur page private hun... that'll cut them down a lot <	0	positive	0	0	2	0	0	0	-3.947	2.743	-1	2	0.3405466817	0	-0.078125	neutral	0	0	0	-1	-1.39	2	0	0	0.478	0	0	3	0.448	-0.379	-0.494	0.675	-0.54	0.54
@Aviemoron My coffin has already been reshaped as it's going with me!!!	0	positive	0	0	0	0	0	0	-1.201	1.836	0	1	0.125	0	-0.25	neutral	1	1	0	-1	-2.589	3	0	0	1.526	0	1	2	0.196	-0.055	0.005	0.433	-0.396	0.382
RT @ErnieAtNing: Selected OpenSocial Ning Apps are now available on github  via Apache 2.0 license: http://bit.ly/97lwm8	0	neutral	0	0	0	1	0	0	-0.854	2.324	0	1	0.25	0	-0.05078125	neutral	0	1	0	-1	-1.389	1	0	0	1.286	0	1	1	0.052	0	-0.059	0.161	-0.126	0.181
I went to hot power yoga and I loved it. MUCH better than Bikram to me. Power Good. Hot Good. Sweat Good. What's not to love? #stinky	3	positive	7	0	0	8	3	17	-4.21	5.274	0	1	3.8791261371	4	-1.5783777237	positive	0	0	4	-3	-4.237	4	0	2	9.11	3	1	4	0.914	-0.051	0.066	1.09	-0.729	2.189
@nicko236 Lol  well I considered posting something normal  but since when have I been normal.	0	positive	3	0	0	1	0	3	-5.281	2.299	0	2	0.2495348473	0	-0.2025785446	neutral	0	0	0	-1	-2.669	1	0	0	0.348	0	0	2	1.169	0	0.871	1.455	-0.272	1.452
Google Traffic Pump Pro System.: How To Get Targeted Leads And Massive Traffic To Any Website In 15 Minutes Or Less! http://bit.ly/bGI1aO	0	positive	1	0	1	1	0	0	-4.056	1.744	0	1	0.0137367258	0	-0.1945800781	neutral	0	0	0	-1	-4.797	1	0	0	2.163	1	0	2	0.782	0	0.066	1.14	-0.531	1.693
RT @WLKY Welcome! http://scrbliv.me/11767 We have 4 inches in New Albany and still coming down.	0	positive	1	0	1	1	1	2	-0.512	4.224	0	1	0.2327590138	0	-0.1650400162	positive	0	0	0	-1	-1.743	1	0	0	3.682	0	0	3	0.841	0	0.691	1.252	-0.554	1.131
It saddens my heart 2 C women with black eyes! :(	0	negative	1	0	1	0	0	0	-5.528	1.591	0	4	0.2802734375	0	-0.0412665009	neutral	1	1	0	-4	-5.256	1	0	0	1.605	0	0	2	0.297	0	0.304	0.488	-0.282	0.379
?aaaaaaah   e aparece a @gpaaaiva no clipe :B *-* (@replacemusic live on http://twitcam.com/eo3d)	0	positive	1	0	0	0	0	0	-0.591	1.471	-1	1	0.2512726784	0	-0.2109375	neutral	0	0	0	-1	-1.036	1	0	0	0.886	0	0	2	0.062	0	0.033	0.123	-0.154	0.183
I cant feel my feet.. that cant be good..	1	positive	1	0	0	1	1	3	-1.971	0.825	0	3	0.7369348425	1	-0.046875	negative	0	0	1	-1	-3.949	1	0	0	0.903	1	0	2	0.032	0	0	0.193	-0.31	0.214
RT @katsuhir0: ??????????????RT @ts_tw: ????????????RT @shimay ?????Xperia?????????????30?? http://bit.ly/9i5kzy	0	neutral	0	0	0	0	0	0	0	1.839	0	1	0	0	0	positive	0	0	0	-1	0	1	0	0	0.114	0	0	1	0	0	0	0	0	0
@officialerika i hope so dude hahaha <3. So  which subject do you have right now? xx	1	positive	2	0	0	1	1	5	-2.918	3.357	0	1	0.097114563	1	-0.3063567244	positive	0	1	1	-1	-1.53	3	0	0	4.005	1	0	3	1.438	0	1.015	2.234	-0.258	1.326
He's been ranting about this for years RT @eugenelee finally blogged Business is Conducted by People  not Users http://bit.ly/9Dt24j	1	neutral	0	1	1	0	1	0	-4.95	3.005	0	2	0.263671875	1	-0.875	neutral	0	0	1	-1	-1.839	1	1	0	1.87	1	0	1	0.706	0	0.189	0.973	-0.294	1.156
Questions galore in my heart i try to sleep. a little hurt  a little lonely a little confused a little in love  a little smooth a li'l rough	0	negative	4	4	10	3	0	3	-3.773	4.885	-6	2	0.8702392578	1	-3.2426576614	negative	2	2	2	-3	-7.062	2	1	2	6.032	0	2	3	0.804	-0.556	-0.575	0.258	-1.774	0.857
RT @Local76_493: Happy Birthday to Carole King b.1942  Carmen Miranda 1909 	1	positive	1	0	0	1	2	3	-0.092	3.914	0	1	0.4572753906	2	0	positive	0	0	3	-1	-0.165	2	0	0	3.8	1	0	2	0.952	0	1.801	0.095	0	0.961
:-) RT @lenno212: Keith Hernandez and Daniel Murphy already have begun working out together in Port St. Lucie. #Mets	0	neutral	0	0	0	0	1	0	-2.366	4.031	0	1	0.244140625	0	-0.1268377304	neutral	0	0	1	-1	-1.513	1	0	0	5.845	0	0	1	0.633	0	0.294	0.816	-0.455	1.244
