content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg	emo_joy	emo_anticipation	emo_fear	emo_trust	emo_sadness	emo_anger	emo_surprise	emo_disgust	sentiStrength_neu
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."""	Sat May 16 16:19:04 UTC 2009	118	J_Holl	google	4	2	1	3	2	0	0	positive	1	-0.21875	4	0.8330375568	0	positive	-1	1	1	0	1	0	0	1	0	positive
"Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone."""	Sat May 16 16:19:24 UTC 2009	119	vamsmack	google	8	1	0	0	5	1	-4	negative	1	-0.4885501868	3	0.4160614014	1	negative	-4	0	0	0	1	0	0	1	0	negative
"US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders"""	Sat May 16 16:25:41 UTC 2009	120	schroncd	aig	3	1	0	0	7	1	-2	negative	1	-0.05859375	4	0.0413818359	1	neutral	-1	0	2	1	1	1	0	0	0	neutral
"omg so bored &amp; my tattoooos are so itchy!!  help! aha =)"""	Sat May 16 22:42:07 UTC 2009	121	MarissaLeeD	itchy	2	2	1	2	3	2	-4	negative	1	-0.5763549805	1	0.0625	0	negative	-2	0	0	0	0	0	0	0	0	negative
"I'm itchy and miserable!"""	Sat May 16 22:42:25 UTC 2009	122	robloposky	itchy	3	1	0	0	0	2	-5	negative	0	-1.421875	0	0	1	neutral	-4	0	0	0	0	1	1	0	1	negative
"@sekseemess no. I'm not itchy for now. Maybe later, lol."""	Sat May 16 22:42:44 UTC 2009	123	EdwinLValencia	itchy	5	2	1	3	2	2	-3	negative	0	-1.37109375	0	0	0	positive	-1	0	0	0	0	0	0	0	0	positive
"RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR"""	Sat May 16 23:48:15 UTC 2009	124	imusicmash	stanford	2	3	1	3	4	1	-2	positive	1	-0.0859375	2	0.4772949219	1	positive	-3	1	0	0	1	0	0	0	0	negative
"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."""	Sat May 16 23:58:34 UTC 2009	125	drewloewe	lyx	5	3	1	3	3	2	-4	positive	2	-0.5936279297	5	1.3295919318	4	positive	-1	1	2	2	1	1	2	1	0	positive
"I'm listening to """"P.Y.T"""" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"""	Sun May 17 15:05:03 UTC 2009	131	VickyTigger	Danny Gokey	3	3	1	4	4	0	0	positive	1	-0.3125	2	0.7734375	0	positive	-1	0	0	0	0	0	0	0	0	positive
"is going to sleep then on a bike ride:]"""	Sun May 17 17:27:45 UTC 2009	132	babblyabbie	sleep	3	1	0	0	1	0	0	positive	0	-0.28125	3	0.1796760559	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"cant sleep... my tooth is aching."""	Sun May 17 17:27:49 UTC 2009	133	kisjoaquin	sleep	3	1	0	0	0	1	-2	negative	0	-0.5390625	1	0.015625	0	negative	-2	0	0	0	0	1	0	0	0	negative
"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."""	Sun May 17 17:28:02 UTC 2009	134	Whacktackular	sleep	7	1	0	0	3	4	-7	negative	1	-0.484375	4	0.3344726544	3	negative	-1	0	0	0	0	0	0	1	0	neutral
"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"""	Sun May 17 17:29:50 UTC 2009	135	Adrigonzo	san francisco	3	2	1	3	4	1	-4	negative	1	-0.1601219177	2	0.1796875	0	negative	-3	1	1	0	0	0	0	0	0	negative
"is in San Francisco at Bay to Breakers."""	Sun May 17 17:30:19 UTC 2009	136	sulu34	san francisco	1	1	0	0	3	0	0	neutral	0	-0.00390625	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"just landed at San Francisco"""	Sun May 17 17:30:23 UTC 2009	137	schuyler	san francisco	0	1	0	0	2	0	0	neutral	1	0	1	0.1726074219	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"San Francisco today.  Any suggestions?"""	Sun May 17 17:30:56 UTC 2009	138	MattBragoni	san francisco	0	1	0	0	1	0	0	neutral	1	0	1	0.078125	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg"""	Sun May 17 17:32:00 UTC 2009	139	KennyTRoland	aig	1	1	0	0	0	1	-1	negative	0	-0.0031728745	2	0.328125	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?"""	Sun May 17 17:32:30 UTC 2009	140	aMild	aig	2	1	0	0	4	0	0	negative	1	-0.4375	5	0.4141618013	2	neutral	-3	0	0	1	0	1	1	0	0	negative
"ShaunWoo hate'n on AiG"""	Sun May 17 17:32:36 UTC 2009	141	Trazor1	aig	1	1	0	0	0	1	-3	negative	0	-0.5	1	0.03125	1	neutral	-4	0	0	1	0	1	1	0	1	negative
"@YarnThing you will not regret going to see Star Trek. It was AWESOME!"""	Sun May 17 17:35:17 UTC 2009	142	mimknits	star trek	4	4	1	4	1	1	-2	positive	3	-1.2734375	4	0.8502203226	1	positive	-1	1	1	0	1	1	0	0	0	positive
"On my way to see Star Trek @ The Esquire."""	Sun May 17 17:35:28 UTC 2009	143	GeeRen	star trek	1	1	0	0	1	0	0	neutral	1	-0.0625	4	0.1285406351	0	neutral	-1	1	1	0	1	0	0	0	0	neutral
"Going to see star trek soon with my dad."""	Sun May 17 17:35:45 UTC 2009	144	checkyesjess	star trek	3	1	0	0	1	0	0	neutral	1	-0.375	2	0.0963140726	0	positive	-1	1	1	0	1	0	0	0	0	neutral
"annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that."""	Mon May 18 01:13:27 UTC 2009	145	renano	Malcolm Gladwell	2	1	0	0	6	1	-2	negative	0	-0.37890625	3	0.107421875	1	negative	-3	0	0	0	0	0	1	0	0	negative
"Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50"""	Mon May 18 01:14:41 UTC 2009	146	kottkedotorg	Malcolm Gladwell	0	1	0	0	3	0	0	neutral	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell"""	Mon May 18 01:14:47 UTC 2009	147	davidm89	Malcolm Gladwell	1	1	1	2	0	0	0	positive	1	-0.25	2	0.8125	0	neutral	-1	0	0	0	1	0	0	0	0	neutral
"Blink by malcolm gladwell amazing book and The tipping point!"""	Mon May 18 01:15:17 UTC 2009	148	livreal	Malcolm Gladwell	1	3	1	4	0	0	0	positive	1	-0.25	4	0.699231267	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Malcolm Gladwell might be my new man crush"""	Mon May 18 01:16:12 UTC 2009	149	mikearosso	Malcolm Gladwell	2	1	0	0	0	1	-1	positive	1	-0.301574707	3	0.0769042969	1	neutral	-1	0	0	0	0	0	0	0	0	neutral
"omg. The commercials alone on ESPN are going to drive me nuts."""	Mon May 18 01:18:03 UTC 2009	150	wendy93639	espn	3	2	0	0	2	2	-5	negative	1	-0.56640625	2	0.0314942002	0	negative	-1	0	0	0	0	0	0	0	0	positive
"@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code."""	Mon May 18 03:11:06 UTC 2009	151	ClayFranklin	"twitter api"""""	5	2	2	6	7	0	0	positive	3	-0.415514946	5	0.4932870865	0	positive	-1	2	1	0	1	0	0	0	0	positive
"playing with cURL and the Twitter API"""	Mon May 18 03:11:58 UTC 2009	152	cURLTesting	"twitter api"""""	0	2	0	0	3	0	0	neutral	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Hello Twitter API ;)"""	Mon May 18 03:12:13 UTC 2009	153	ringerdrop	"twitter api"""""	0	1	0	0	2	0	0	positive	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"playing with Java and the Twitter API"""	Mon May 18 03:12:18 UTC 2009	154	danserfaty	"twitter api"""""	0	2	0	0	3	0	0	neutral	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"@morind45 Because the twitter api is slow and most client's aren't good."""	Mon May 18 03:12:40 UTC 2009	155	raykolbe	"twitter api"""""	1	2	1	3	4	0	0	negative	1	-0.0671386719	1	0.7083761115	1	neutral	-1	1	1	0	1	0	0	1	0	positive
"yahoo answers can be a butt sometimes"""	Mon May 18 03:13:03 UTC 2009	156	CarolineVilas	yahoo	2	1	0	0	3	0	0	negative	0	-0.375	1	1.220703125E-4	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"is scrapbooking with Nic =D"""	Mon May 18 05:07:16 UTC 2009	157	rachelbegins	scrapbooking	0	1	0	0	0	0	0	positive	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR"""	Tue May 19 16:20:46 UTC 2009	172	leedscentlib	wolfram alpha	1	1	1	2	3	0	0	positive	2	-0.0625	4	0.8865661621	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"just changed my default pic to a Nike basketball cause bball is awesome!!!!!"""	Wed May 20 02:37:09 UTC 2009	173	sportsgirl505	nike	3	4	1	4	3	0	0	positive	2	-0.109375	3	1.0788574219	0	positive	-1	1	1	1	0	1	0	0	1	positive
"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding"""	Wed May 20 02:38:27 UTC 2009	174	MatrixSystems	nike	0	1	0	0	5	0	0	neutral	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"'Next time, I'll call myself Nike'"""	Wed May 20 02:38:45 UTC 2009	175	cadburysgirl	nike	2	1	0	0	1	0	0	neutral	0	-0.2186646489	1	0.0061035156	0	neutral	-1	0	1	0	0	0	0	0	0	neutral
"New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT"""	Wed May 20 02:38:50 UTC 2009	176	AddictedToFresh	nike	4	1	0	0	4	0	0	neutral	1	-0.3578720093	1	0.0758056641	1	neutral	-2	0	0	0	0	0	0	0	0	negative
"RT @SmartChickPDX: Was just told that Nike layoffs started today :-("""	Wed May 20 02:39:05 UTC 2009	177	coreysmbpro	nike	0	2	0	0	1	0	0	negative	1	0	2	0.2507324219	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Back when I worked for Nike we had one fav word : JUST DO IT! :)"""	Wed May 20 02:39:28 UTC 2009	178	PRolivia	nike	2	2	0	0	3	0	0	positive	2	-0.1562156677	3	0.3493652325	0	neutral	-1	0	0	0	1	0	0	0	0	positive
"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"""	Wed May 20 02:40:23 UTC 2009	179	ErrantDreams	nike	5	4	1	2	1	0	0	positive	0	-0.875	3	1.3759765625	0	neutral	-2	1	0	0	1	0	0	1	0	positive
"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."""	Sat May 23 20:43:22 UTC 2009	192	nikete	weka	5	1	0	0	5	1	-1	neutral	0	-0.3300781455	2	0.09375	1	neutral	-1	0	0	0	0	0	1	0	0	neutral
"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t"""	Sun May 24 16:18:48 UTC 2009	194	bigdigit	50d	2	1	0	0	9	0	0	neutral	0	-0.091796875	4	0.2785644531	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"Class... The 50d is supposed to come today :)"""	Sun May 24 16:19:04 UTC 2009	195	justinbettman	50d	0	1	0	0	0	0	0	positive	0	0	4	0.1431341171	1	neutral	-1	0	0	0	0	0	0	0	0	neutral
"needs someone to explain lambda calculus to him! :("""	Sun May 24 20:48:14 UTC 2009	196	read0	lambda calculus	0	2	0	0	3	0	0	negative	0	0	2	0.3125	0	neutral	-1	0	0	0	1	0	0	0	0	positive
"Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus."""	Sun May 24 20:48:58 UTC 2009	197	BAK3R	lambda calculus	2	2	1	2	6	1	-3	negative	1	-0.25	6	0.411737442	1	negative	-2	0	0	0	0	0	0	0	1	negative
"SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......"""	Sun May 24 20:49:52 UTC 2009	198	SLICKSPIT	east palo alto	3	3	1	2	7	1	-2	positive	1	-0.2578125	1	0.34375	1	positive	-2	0	0	1	0	0	1	1	0	positive
"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."""	Sun May 24 20:50:32 UTC 2009	199	ckwright	east palo alto	7	2	0	0	6	1	-1	negative	0	-0.4285945892	1	0.390625	0	neutral	-1	0	0	0	0	0	0	1	0	positive
"@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!"""	Mon May 25 17:15:01 UTC 2009	204	souleaterjh	stanford	3	3	3	7	5	0	0	positive	3	-0.3774414063	5	0.89453125	0	positive	-1	1	1	0	1	0	0	0	0	positive
"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"""	Mon May 25 17:15:24 UTC 2009	205	susangao	stanford	1	1	0	0	5	0	0	neutral	0	-0.03125	1	0.046875	0	neutral	-1	0	1	0	1	0	0	0	0	neutral
"New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo"""	Mon May 25 17:15:43 UTC 2009	206	jimmy_chan2009	stanford	1	1	1	4	4	0	0	neutral	0	-2.44140625E-4	1	0.0758056641	0	neutral	-1	0	0	0	0	0	1	0	0	neutral
"@ work til 6pm... lets go lakers!!!"""	Mon May 25 17:17:04 UTC 2009	207	a_fio	lakers	0	2	0	0	0	0	0	positive	0	0	2	0.0086063354	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Damn you North Korea. http://bit.ly/KtMeQ"""	Mon May 25 17:18:29 UTC 2009	208	luvslikepi	north korea	1	1	0	0	2	1	-4	negative	0	-0.25	0	0	1	neutral	-1	0	0	0	0	0	1	0	1	neutral
"Can we just go ahead and blow North Korea off the map already?"""	Mon May 25 17:19:05 UTC 2009	209	utsagrad123	north korea	2	1	0	0	4	0	0	negative	1	-0.4629363827	4	0.3608399015	1	neutral	-1	0	0	0	0	0	0	0	0	neutral
"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"""	Mon May 25 17:19:14 UTC 2009	210	stabotage	north korea	0	2	2	3	4	0	0	negative	3	0	4	0.3470306396	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"Why the hell is Pelosi in freakin China? and on whose dime?"""	Mon May 25 17:21:08 UTC 2009	211	zed01	pelosi	1	1	0	0	3	1	-4	negative	0	-0.4375	2	0.09375	1	neutral	-2	0	0	1	0	1	1	0	1	negative
"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where """"bailout"""" means taking a handout!"""	Mon May 25 17:23:55 UTC 2009	212	funky_old_man	bailout	4	2	0	0	6	2	-3	negative	0	-0.8957509995	2	0.5625	0	neutral	-1	1	1	1	1	0	1	0	0	positive
"insects have infected my spinach plant :("""	Mon May 25 17:25:34 UTC 2009	213	malcozer	insects	2	1	0	0	1	1	-2	negative	0	-0.7494535446	1	0.0014648438	1	neutral	-1	0	0	0	0	0	0	0	0	neutral
"wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects"""	Mon May 25 17:26:50 UTC 2009	214	AntoineTheReaL	insects	5	1	1	1	6	1	-4	negative	1	-0.260681154	2	0.1502566338	1	negative	-3	0	0	0	0	0	2	1	2	negative
"just got back from church, and I totally hate insects."""	Mon May 25 17:27:05 UTC 2009	215	jonwolpert	insects	2	1	0	0	1	1	-3	negative	2	-0.53125	3	0.8449707013	1	neutral	-5	1	1	1	1	1	1	0	1	negative
"Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it"""	Mon May 25 17:28:50 UTC 2009	216	jachshore	mcdonalds	5	2	2	3	8	2	-5	negative	3	-1.0090332031	8	1.1147311629	2	neutral	-3	1	0	0	1	1	0	0	1	negative
"omgg i ohhdee want mcdonalds damn i wonder if its open lol =]"""	Mon May 25 17:29:39 UTC 2009	217	MamiYessi	mcdonalds	5	2	2	4	0	1	-4	positive	3	-0.5639757108	1	0.1796875	1	neutral	-1	0	0	0	0	0	1	0	1	positive
"History exam studying ugh"""	Mon May 25 17:31:21 UTC 2009	218	jvici0us	exam	0	1	0	0	3	0	0	negative	0	0	0	0	1	negative	-3	0	0	0	0	0	0	0	0	negative
"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."""	Mon May 25 17:31:43 UTC 2009	219	enriquenieto	exam	8	2	1	3	7	2	-6	negative	1	-1.6875	2	1.2083761115	3	negative	-4	1	2	1	1	1	1	1	1	negative
"Higher physics exam tommorow, not lookin forward to it much :("""	Mon May 25 17:31:45 UTC 2009	220	Drummermatt_182	exam	1	1	0	0	3	0	0	negative	0	-0.625	3	0.40625	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("""	Mon May 25 17:32:11 UTC 2009	222	filmcriticbeta	exam	7	1	0	0	2	1	-3	negative	0	-0.4672279358	3	0.0713504183	0	negative	-2	1	1	0	1	0	0	0	0	negative
"Cheney and Bush are the real culprits - http://fwix.com/article/939496"""	Mon May 25 17:34:40 UTC 2009	223	lvlocal	cheney	1	1	0	0	1	0	0	negative	1	-0.0029296875	1	0.0045166016	0	neutral	-1	0	0	0	1	0	0	0	0	neutral
"Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ"""	Mon May 25 17:34:51 UTC 2009	224	QCWofNC	cheney	3	1	0	0	2	2	-9	negative	0	-0.46484375	0	0	1	neutral	-2	0	0	1	0	1	1	0	1	negative
"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"""	Mon May 25 17:35:23 UTC 2009	225	jepaco	cheney	4	1	0	0	1	4	-13	negative	0	-0.291015625	2	0.068359375	3	neutral	-4	0	1	2	0	2	2	0	2	negative
