content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol pic.twitter.com/tqORFrXB	1	positive	2	0	0	2	1	6	-2.434	7.856999999999999	0	0.43798828125	2	0.0	positive	0	0	2	-1	-1.172	positive	0	0	3.9420000000000006	1	0	3
#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy  #LiveWireAthletics	0	neutral	1	0	0	0	0	0	-1.1099999999999999	1.067	0	0.06323277944534311	0	-0.10154283166803424	neutral	0	0	1	-1	-3.5530000000000004	neutral	0	0	5.958	1	0	1
#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://bit.ly/XSTGtd 	0	negative	0	0	0	0	0	0	-4.196999999999999	3.096	0	3.714376362040639E-9	0	-0.125	neutral	0	0	0	-3	-6.436	neutral	0	0	2.814	0	0	1
Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)	3	positive	1	0	0	1	3	4	-6.994	2.7569999999999997	0	0.3974609375	0	-0.512629508972168	neutral	0	0	3	-1	-3.6590000000000003	neutral	0	0	5.894	2	0	2
One ticket left for the @49ers game tomorrow! Don't miss the rematch of the NFC Championship game against the NY Giants! Hit me up!	0	negative	0	1	4	0	1	0	-4.215	2.8399999999999994	-2	0.06396484375	0	-0.6424829214811325	neutral	0	1	0	-2	-4.614999999999999	positive	0	1	3.704	0	0	2
Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit	0	positive	1	0	0	0	1	1	-3.584	3.0989999999999998	0	0.2855224609375	0	-0.8789026737213135	neutral	0	0	1	-1	-2.285	positive	0	0	2.7830000000000004	0	0	2
BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://prlasvegas.outdoorkitchennarm.com/black-friday-huge-saving-aerial-view-of-a-city-paris-las-vegas-the-las-vegas-strip-las-vegas-nevada-usa-photographic-poster-print-by-panoramic-images-36x12/ …	0	neutral	0	0	1	0	0	1	-0.394	2.9300000000000006	0	0.06005859375	0	-0.291267454624176	neutral	2	2	0	-1	-0.279	neutral	0	0	6.067000000000001	0	0	1
YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!	0	positive	1	0	1	1	1	1	-2.324	2.6069999999999993	0	0.78399658203125	0	-0.156829833984375	positive	0	0	0	-1	-1.186	positive	0	0	2.6030000000000006	0	0	2
@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies,1st she said she was alone &the hosp.now she's saying how weird it was for Keiffer's	0	negative	0	1	1	0	0	0	-8.264	0.347	-4	0.0	0	-0.06640625	negative	0	1	0	-2	-2.86	negative	1	0	0.124	0	0	1
@tantrak I'm going to Hong Kong during that time and mamA is on Nov 30. I want to see them live	0	neutral	2	0	0	0	1	1	-2.1870000000000003	0.8390000000000001	0	0.0714026689529419	0	-0.50146484375	neutral	0	0	0	-1	-3.151	positive	0	0	2.339	0	0	1
Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday... http://fb.me/1AIvanLJZ 	0	positive	1	0	0	1	1	0	-2.7640000000000002	1.8729999999999998	0	0.40625	0	-0.046875	neutral	0	1	5	-1	-1.7810000000000001	neutral	0	1	3.484	3	1	3
C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers	0	positive	3	0	0	1	0	2	-3.3120000000000003	3.218	0	0.485595703125	0	-0.5297279357910156	neutral	0	0	0	-1	-1.008	neutral	0	0	3.4330000000000007	0	0	2
At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare	0	neutral	1	0	0	1	0	3	-0.23700000000000002	6.467	0	0.5460319966077805	0	-0.002384185791015625	positive	0	0	1	-1	-0.7299999999999999	neutral	0	0	9.522	1	0	1
Good morning Thursday. Life is fragile. We're not guaranteed a tomorrow so give it everything you've got. - Tim Cook [Do it for Jobs!]	1	positive	1	1	1	1	2	3	-4.34	4.739	0	0.7084066290408373	1	-1.230861550351392	positive	1	1	1	-1	-2.9219999999999993	positive	0	0	4.396	1	1	2
#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://twitition.com/p9clo 	0	positive	2	1	1	0	1	1	-1.241	2.547	0	0.17860221676528454	0	-0.57958984375	neutral	0	1	0	-1	-2.8689999999999998	positive	0	0	5.304000000000001	0	0	2
My teachers call themselves givng us candy....wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/	1	positive	3	0	0	1	2	3	-6.049000000000001	2.029	0	0.7504904270317638	1	-0.37491464894173987	neutral	0	0	1	-1	-3.1039999999999996	negative	0	0	1.7810000000000001	1	0	2
#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor, second to Tom Brady's 6, tied w/ TD.	0	negative	1	1	1	1	0	2	-3.0229999999999997	3.4159999999999995	0	0.84759521484375	0	-0.2899375	neutral	0	2	1	-3	-3.8459999999999996	neutral	1	1	5.0969999999999995	1	0	1
@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!	0	positive	0	0	0	0	0	0	-0.651	3.9669999999999996	0	0.013736725770286284	0	-0.006290435791015625	positive	0	0	0	-1	-0.957	neutral	0	0	3.537000000000001	0	0	2
Andre's Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League,... http://tmblr.co/ZiAjGyWOM57G 	0	neutral	2	1	1	1	0	0	-4.765	2.443	-3	0.22967243171297014	0	-0.265625	neutral	0	0	3	-1	-2.098	neutral	0	0	1.83	1	1	1
When my professor passes out candy and says a very small amount of that may be from Valentines day, just so you know	0	neutral	1	0	0	0	0	0	-2.847	1.9090000000000003	0	0.55145263671875	0	-0.13241958618164062	neutral	0	1	1	-1	-2.5220000000000002	neutral	0	0	3.5590000000000006	1	0	1
How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter	0	positive	2	0	0	2	0	4	-4.255	2.2649999999999997	0	1.0415802001953125	0	-0.19226837158203125	neutral	0	0	0	-1	-2.829	neutral	0	0	5.233999999999999	0	0	2
Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://bit.ly/ztNRG0  #Raleigh	0	negative	1	0	0	1	0	0	-0.754	4.888999999999999	-2	0.251953125	0	-0.5625	negative	1	1	1	-2	-1.9489999999999998	negative	0	0	5.026000000000001	0	1	2
taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.	0	neutral	1	0	0	1	1	2	-0.563	2.5839999999999996	0	0.65625	0	-0.5341796875	neutral	0	0	1	-1	-1.9469999999999998	positive	0	0	7.743	0	0	1
The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up	0	negative	4	0	0	2	1	4	-2.186	6.586	-2	0.457977294921875	1	-0.5585939139127731	positive	0	2	2	-3	-2.2270000000000003	positive	0	2	5.949000000000001	2	0	3
@lala_cox There are going to be plenty of ups & downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo	2	positive	2	0	0	0	1	2	-2.5949999999999998	5.535000000000001	0	0.0894775390625	1	-0.4077739715576172	positive	0	0	1	-1	-1.9880000000000002	neutral	0	1	3.1079999999999997	1	0	3
The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry	0	negative	0	2	2	0	1	0	-1.2720000000000002	2.415	-5	0.22900390625	0	-1.17578125	negative	1	2	0	-4	-5.601999999999999	neutral	0	0	5.759	0	1	1
Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food, sweet.	1	positive	2	0	0	2	2	2	-0.984	5.9879999999999995	0	0.20186996459960938	2	-0.0625	positive	0	0	2	-1	-0.689	positive	0	0	9.038	2	0	2
Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.	0	neutral	0	0	1	0	0	0	-3.574	2.907	0	0.03125	0	-0.125579833984375	neutral	0	0	0	-1	-1.8680000000000003	neutral	0	0	5.97	0	0	1
I think I may have a heart attack for Jason Wu's new collection. So Charlotte Rampling in the Night http://pinterest.com/pin/68891069271126578/ …	0	negative	1	1	1	0	0	0	-1.2659999999999998	3.542	-1	0.113525390625	0	-0.5054349899291992	neutral	0	1	0	-3	-2.412000000000001	positive	0	1	4.925000000000001	0	1	1
If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://fb.me/1NKnb6ZhU 	0	neutral	3	0	0	1	0	0	-1.391	2.563	0	0.46032571884279605	0	-0.21820354461669922	neutral	0	0	1	-1	-2.5969999999999995	neutral	0	0	3.3779999999999992	1	0	1
Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo! Don't miss tomorrow night... http://fb.me/25EQZW3B0 	0	positive	2	1	1	1	2	4	-2.152	3.5309999999999993	-2	0.53125	1	-0.2139645218849182	neutral	0	0	1	-2	-1.8599999999999999	positive	0	0	8.939	1	0	3
Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://bit.ly/Q1z5MC 	0	neutral	0	0	0	1	2	5	-3.5940000000000003	4.287	0	0.5143070220947266	0	0.0	neutral	0	0	1	-1	-0.997	positive	0	0	1.7630000000000001	0	0	1
JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period	0	negative	0	0	0	1	0	0	-1.3459999999999999	3.4870000000000005	0	0.08258182555437088	0	-0.14959705450178262	neutral	0	0	1	-2	-3.192	neutral	0	0	2.5580000000000003	0	0	2
Kick-off your weekend with service! EV!'s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6! Hope to see you there :)	2	positive	1	0	0	0	1	2	-2.76	6.6930000000000005	0	0.14844191166048404	1	-0.064453125	positive	0	0	1	-1	-2.017	positive	0	0	4.712	1	0	3
Desperation Day (February 13th) the most well known day in all mens life.	0	negative	1	1	1	1	0	0	-1.143	1.2699999999999998	0	1.2202684898376464	0	-0.25	neutral	0	0	0	-3	-0.926	negative	0	0	3.7960000000000003	0	0	2
paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://tmblr.co/ZFia7xWPV8yE 	0	positive	1	0	0	0	0	0	-0.242	2.5680000000000005	0	0.172607421875	0	-0.4375	neutral	2	2	0	-1	-0.518	neutral	0	2	4.01	0	0	3
#web Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...	0	neutral	0	0	0	0	0	0	-3.887	3.487	0	0.095703125	0	-0.18597793579101562	neutral	0	0	0	-1	-2.4429999999999996	neutral	0	0	5.260000000000001	0	0	1
@PaperChasinAL: Damn next Saturday tho Niggas was trynna get shit over with #early	0	negative	0	2	1	0	0	0	-5.489000000000001	0.442	-13	0.11334610077028628	0	-0.4482421875	negative	0	2	0	-2	-3.88	negative	2	2	1.696	0	0	1
and the 4th one is for Harry Styles!! <33333	0	positive	0	0	0	0	0	0	-0.1	2.181	0	0.00439453125	0	-0.0625	neutral	1	1	0	-1	-0.14500000000000002	neutral	0	1	4.574	0	0	2
Blog Post: MTV's Teen Mom 2 Returns for an Intense Third Season with Chelsea, Jenelle, Kailyn and Leah on Monday,... http://dlvr.it/2LLcQV 	1	neutral	0	1	0	0	0	1	-3.377	4.21	0	0.15625	1	-0.234619140625	neutral	0	1	1	-1	-0.8509999999999999	neutral	1	1	4.2010000000000005	1	1	1
The Business Leader's Award ceremony will be held during the @wef annual meeting in Davos on the 25 January 2013! http://www.endhumantraffickingnow.com/?portfolio=business-leaders-award-ceremony-to-be-held-during-the-wefs-upcoming-annual-meeting-in-davos-2 …	2	positive	2	0	0	1	1	3	-0.125	3.2180000000000004	0	0.2969970703125	2	-0.0078125	neutral	0	0	3	-1	-0.991	neutral	0	0	4.663	2	0	2
@elifyk1 Hi Elif Greetings from USA midwest How is school going? Happy Turkish Republic Day! I can't wait for Nov 8 #NewGlee Yes!	0	positive	2	0	0	1	2	6	-0.7389999999999999	8.215	0	0.8916015625	1	-0.359375	positive	0	2	1	-1	-1.766	positive	0	0	7.890000000000001	2	0	2
Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion	0	positive	1	0	0	0	1	3	-1.5659999999999998	1.915	0	0.5336647033691406	0	-0.03125	neutral	0	0	0	-1	-0.742	positive	0	0	1.0539999999999998	1	0	2
@Jordon_Atkins me you and joe gone chill Saturday of i come tho	0	neutral	0	1	1	0	0	0	-1.6869999999999998	1.929	0	6.771087646484375E-5	0	-0.466796875	negative	0	0	0	-1	-2.3	neutral	0	0	2.068	0	0	1
Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...	0	neutral	2	0	0	0	0	0	-0.8959999999999999	3.110000000000001	0	0.90625	0	-0.4140625	neutral	0	0	1	-1	-2.5780000000000003	positive	0	0	7.218000000000001	0	0	1
Calling all voters, I'm calling on Nevada,Florida,Ohio,Tuesday night is the night u guys will i repeat will shine for the president lets go!	0	positive	3	0	0	1	0	0	-5.36	6.337	0	0.6047363858815515	0	-0.068359375	positive	0	0	2	-1	-1.572	neutral	0	0	4.563	1	0	2
We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://uscellular.com/  on Nov 1st at 11am (CST)	0	positive	1	0	0	1	0	0	-2.855	4.3709999999999996	0	0.5537109375	0	0.0	neutral	0	0	0	-1	-0.8220000000000001	neutral	0	0	4.306000000000001	0	0	2
It's Radio 1 Rocks next - week starting off with a Live lounge on @fearnecotton's show with Bullet for my Valentine on Monday	0	neutral	1	0	0	0	0	0	-0.488	4.8420000000000005	0	0.26690149307250977	0	-0.57275390625	positive	0	1	1	-1	-1.038	neutral	0	0	7.215	1	0	1
Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://bit.ly/QZkoK1 	1	positive	0	0	0	0	2	0	-2.036	5.560999999999999	-1	0.4164955624146387	1	-0.3148841857910156	positive	0	0	1	-1	-1.5619999999999998	positive	0	0	4.286999999999999	1	1	2
PUMPED to open the season tomorrow night against Georgetown! Women's Preview: http://bit.ly/QXekV7  | Men's Preview: http://bit.ly/QXemfI 	0	positive	1	0	1	0	1	0	-1.22	5.136	0	0.0	0	-0.5185655545137706	neutral	0	0	0	-1	-1.1600000000000001	positive	0	0	3.22	0	0	2
Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&#039;s mo...	0	negative	1	0	0	2	2	2	-0.867	3.082	0	0.23535153648117557	1	-0.9871902465820312	neutral	0	0	1	-2	-3.0800000000000005	neutral	1	1	6.399999999999999	1	1	1
Somehow I managed to lose my princess leia bra on Saturday. I'm going to Noel Gallagher as Glock at Phish ie jorts&tank. @custymcnoob	1	negative	0	1	1	0	0	0	-3.247	3.508	0	0.03125	0	-0.610595703125	neutral	1	1	1	-2	-4.039000000000001	neutral	1	1	5.645	0	1	1
Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://bit.ly/TffDi7 	0	neutral	0	0	0	1	0	0	-1.1909999999999998	6.383	0	0.248046875	0	-0.00390625	neutral	0	0	0	-1	-1.451	neutral	0	0	3.61	0	0	1
SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://boltonfm.com/listen-live 	0	negative	1	1	1	1	0	3	-2.915	7.627	-3	0.08209610077028628	0	-0.5625	positive	1	1	0	-4	-3.286	positive	1	1	6.674	0	1	3
Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M http://www.madaboutthegirl.com/2012/10/the-grey-concept-from-h.html?spref=tw … #fashion #shopping #highstreet	1	neutral	1	0	0	1	3	0	-0.7	4.3420000000000005	-1	0.2008056640625	1	-0.04736328125	neutral	0	0	1	-1	-0.898	neutral	0	0	6.444000000000001	1	0	1
FAQ: What is 'skeuomorphic design' and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07: Apple CEO ... http://bit.ly/T89gNo 	0	negative	0	0	0	0	0	0	-0.559	3.4259999999999997	0	0.13690185546875	0	-1.52587890625E-5	neutral	0	0	1	-2	-1.287	neutral	0	0	5.512000000000001	0	0	1
Omg. Ricky Martin may be gay but he is one fine ass gay man.	0	positive	0	0	1	1	0	2	-1.546	1.451	-4	0.5155029296875	0	0.0	neutral	0	1	0	-2	-2.0100000000000002	positive	0	0	1.3730000000000002	0	0	3
On the bright side tomorrow's CHOCOLATE DAY #getexcited	0	neutral	1	0	0	1	2	1	0.0	1.211	0	0.388427734375	1	-0.0313720703125	positive	0	0	1	-1	-0.205	positive	0	0	4.478999999999999	1	0	1
Um I just learned that Sunday is NATIONAL CHOCOLATE DAY. I'm totally taking advantage of that.	0	neutral	3	0	0	1	1	2	-2.5969999999999995	2.6179999999999994	0	1.626708984375	1	-0.0625	positive	0	0	2	-1	-1.0399999999999998	positive	0	0	3.798	1	0	1
Noel Gallagher: Musicians are fucking idiots. - Yeah, Brian May - he's an idiot... an idiot who just so happens to be a professor?	0	negative	1	4	3	0	0	1	-4.253	5.136	-10	0.2039794921875	0	-0.5625	neutral	0	2	1	-2	-3.228	negative	2	0	3.3660000000000005	1	0	1
Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://bit.ly/V6sjMm 	1	neutral	1	1	1	0	1	0	-0.721	0.868	0	0.21875	1	-0.17995464867279773	neutral	0	0	1	-1	-3.1639999999999997	neutral	0	0	3.348	1	0	1
@HOPE_forHippies Hell yea lmfaoo , & see you tomorrow Asia baby (;	0	positive	0	1	1	0	1	0	-3.152	2.1550000000000002	-4	0.12652647495269775	1	-0.5546875	neutral	1	1	1	-2	-0.5880000000000001	positive	1	1	1.6119999999999999	0	1	3
@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!	0	neutral	0	0	0	0	0	0	-5.354000000000001	3.6510000000000007	0	0.8230591118781381	0	-0.28125	neutral	0	0	0	-1	-2.034	neutral	0	0	2.729	0	0	1
Its November already.. Christmas will be here soon, then New Year, then Valentine's day then GRADUATION?!?!	1	positive	1	0	0	0	1	0	-0.286	3.959999999999999	0	0.354248046875	1	-0.125	positive	0	0	1	-1	-0.9420000000000001	neutral	0	0	3.404000000000001	1	1	2
#NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July 16. http://mjtunes.com/michael-jackson-radio … L.O.V.E it! #MjTunes	0	positive	2	0	0	1	0	3	-0.908	2.941	0	0.38484811782836914	1	-0.002384185791015625	negative	0	0	1	-1	-1.283	positive	0	0	3.931	0	0	3
Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot	0	negative	0	2	2	0	0	0	-8.59	2.6119999999999997	-11	0.2684288024902344	0	-0.5415630340576172	neutral	0	1	0	-2	-4.364	negative	1	1	2.034	1	0	1
I need another Viv necklace... May buy myself one for Valentines day #nojoke	0	neutral	0	0	0	0	0	0	-2.123	0.883	0	0.33740234375	0	-0.240234375	neutral	0	0	0	-1	-1.9729999999999999	neutral	0	0	1.5499999999999998	0	0	1
I'm in the bathroom bumping Niggas In Paris Crunk ass hell like it's my 1st time hearing it this song will never get old lol	0	negative	2	2	1	1	1	5	-5.952999999999999	3.682	-13	0.24591446014528628	0	-0.84375	neutral	1	3	0	-2	-2.9259999999999993	positive	1	1	5.142000000000001	0	2	2
Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself.	0	neutral	1	0	1	0	0	0	-1.8509999999999998	1.903	0	0.7835088968276978	0	-0.0625	neutral	0	0	0	-1	-2.8440000000000003	neutral	0	0	5.716	0	0	1
Welcome Nick J! :) @nickjonas In Manila! So excited for the show on Friday.	1	positive	2	0	0	2	1	5	-0.017	6.172	0	0.2773475646972656	1	0.0	positive	0	0	1	-1	-1.2890000000000001	positive	0	0	4.723	2	0	3
Battle for the 17th banner: Royal Rumble basketball edition	0	neutral	0	0	1	0	2	0	-0.626	1.5	-1	0.1796875	1	-0.265625	neutral	0	1	1	-1	-0.515	neutral	0	1	2.69	0	0	1
no matter what anyone says...Ray Lewis may be the best defensive player to ever play the game. Hes got heart and hes got anger.	0	negative	2	2	3	1	0	4	-4.4479999999999995	1.6039999999999999	-4	0.3240970372578431	0	-0.227142333984375	neutral	0	2	0	-4	-2.5489999999999995	positive	0	1	2.654	0	0	2
4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM! #6YearsTaylorSwift	0	positive	0	0	0	2	0	6	-0.1	3.39	0	0.375	0	-0.039493560791015625	neutral	0	0	0	-1	-2.775	positive	0	0	9.184999999999997	0	0	2
Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month, Ca... http://ow.ly/1lwzys 	0	positive	0	0	0	0	0	0	-3.521	4.153	0	0.2470703125	0	-0.53125	neutral	0	1	0	-1	-2.754	neutral	0	0	2.8449999999999998	0	0	3
It's midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! <333	2	positive	1	0	0	1	3	3	-0.308	10.516999999999998	0	0.484375	3	0.0	positive	0	0	4	-1	-1.414	positive	0	0	12.915000000000001	1	0	2
Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company's error-ridden new mobile map...	0	neutral	0	0	0	0	1	0	-6.801	4.119	-2	0.156494140625	0	-0.18359375	positive	0	0	0	-1	-1.042	negative	0	0	4.502	0	0	1
Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://goo.gl/fb/rh1J8  #nba #playersnews	0	neutral	1	0	0	0	0	0	-2.347	1.7429999999999999	0	0.203857421875	0	0.0	neutral	0	1	0	-1	-0.109	neutral	0	1	2.2779999999999996	0	1	1
When I teach a basketball in my own school, we're gonna spend the 1st day watching Larry Bird videos, & the rest will take care of itself.	1	positive	2	0	0	0	1	2	-3.044	3.6100000000000003	0	0.7417001724224406	2	-0.124969482421875	positive	0	0	3	-1	-2.727	neutral	0	0	4.569	2	0	2
AT&T offers free cloud storage for iOS and Android AT&T on Thursday announced a new service it calls AT&T Locker th... http://cnet.co/RxB7aa 	0	neutral	1	1	1	1	1	1	-4.489	3.007	0	0.14682722091674805	0	-0.1832275390625	neutral	0	1	0	-1	-7.66	neutral	0	0	6.235	1	0	1
We are here @NBCofChicago for our 12th Anniversary celebration. You still have time to make it - 6620 S. King Dr	1	neutral	1	0	0	1	2	0	-1.665	5.1240000000000006	0	0.25244143609688807	1	-0.1962900161743164	neutral	0	0	2	-1	-1.559	positive	0	0	3.723	1	0	1
Love how I skipped every category of the NTA's besides the soaps. Couldn't give half a fuck if everything else went off the air tomorrow.	0	negative	1	1	0	1	1	3	-5.896	3.532	-4	0.414794921875	1	-0.5809935388767826	neutral	0	0	1	-3	-4.0440000000000005	positive	0	0	4.462	0	0	3
New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://dlvr.it/2PF10l 	0	neutral	0	0	0	0	0	0	-0.556	2.414	0	0.0758056640625	0	-0.1328125	neutral	0	0	0	-1	-0.8919999999999999	neutral	0	0	2.6539999999999995	0	0	1
C'mon c'mon does sound like Queen's we will rock you somehow...	0	positive	3	0	0	1	0	2	-1.756	2.998	0	0.2236328125	0	-0.12514625489711761	neutral	0	0	1	-1	-0.854	neutral	0	0	1.7610000000000001	0	0	2
My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear	0	neutral	1	0	1	0	1	0	-3.7430000000000003	1.9130000000000003	-1	0.172607421875	0	-0.125	negative	0	1	0	-1	-3.084	positive	0	0	1.829	0	0	1
Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA	0	neutral	2	0	1	0	1	0	-1.817	3.4659999999999997	0	0.22822952270507812	1	-0.0390625	neutral	0	1	2	-1	-2.8609999999999998	negative	0	0	3.7279999999999998	1	0	1
